sensor_id,sensor_name,parameter_id,parameter_name,parameter_units,location_id,location_name,locality,latitude,longitude,datetime_first,datetime_last
7761,no2 µg/m³,5,no2,µg/m³,3494,FROSSAY,FROSSAY,47.24746999974683,-1.9366189996354755,,
7762,pm10 µg/m³,1,pm10,µg/m³,3494,FROSSAY,FROSSAY,47.24746999974683,-1.9366189996354755,,
7798262,pm25 µg/m³,2,pm25,µg/m³,3494,FROSSAY,FROSSAY,47.24746999974683,-1.9366189996354755,,
7763,so2 µg/m³,6,so2,µg/m³,3494,FROSSAY,FROSSAY,47.24746999974683,-1.9366189996354755,,
7764,so2 µg/m³,6,so2,µg/m³,3495,FR02011,Bouches-du-Rhône,43.4374825389185,4.94360867156655,,
7765,no2 µg/m³,5,no2,µg/m³,3496,FR05054,,49.4810859994699,0.165289,,
7766,pm10 µg/m³,1,pm10,µg/m³,3496,FR05054,,49.4810859994699,0.165289,,
7767,so2 µg/m³,6,so2,µg/m³,3496,FR05054,,49.4810859994699,0.165289,,
4275476,no µg/m³,19843,no,µg/m³,3497,NET-FR035A,AIR PAYS DE LA LOIRE,47.32282599999999,-2.039853,,
7769,no2 µg/m³,5,no2,µg/m³,3497,NET-FR035A,AIR PAYS DE LA LOIRE,47.32282599999999,-2.039853,,
1562198,pm10 µg/m³,1,pm10,µg/m³,3497,NET-FR035A,AIR PAYS DE LA LOIRE,47.32282599999999,-2.039853,,
1562200,pm25 µg/m³,2,pm25,µg/m³,3497,NET-FR035A,AIR PAYS DE LA LOIRE,47.32282599999999,-2.039853,,
7768,so2 µg/m³,6,so2,µg/m³,3497,NET-FR035A,AIR PAYS DE LA LOIRE,47.32282599999999,-2.039853,,
7771,pm10 µg/m³,1,pm10,µg/m³,3498,FR01009,,49.2713919994693,6.1325,,
7770,so2 µg/m³,6,so2,µg/m³,3498,FR01009,,49.2713919994693,6.1325,,
7774,o3 µg/m³,3,o3,µg/m³,3500,FR02021,Bouches-du-Rhône,43.3313927085815,5.11777403885164,,
7775,so2 µg/m³,6,so2,µg/m³,3500,FR02021,Bouches-du-Rhône,43.3313927085815,5.11777403885164,,
4275420,no µg/m³,19843,no,µg/m³,3501,PARSCAU DU PLESSIS,DONGES,47.319157000232174,-2.0669530004165564,,
1314202,no2 µg/m³,5,no2,µg/m³,3501,PARSCAU DU PLESSIS,DONGES,47.319157000232174,-2.0669530004165564,,
7777,pm10 µg/m³,1,pm10,µg/m³,3501,PARSCAU DU PLESSIS,DONGES,47.319157000232174,-2.0669530004165564,,
1562199,pm25 µg/m³,2,pm25,µg/m³,3501,PARSCAU DU PLESSIS,DONGES,47.319157000232174,-2.0669530004165564,,
7776,so2 µg/m³,6,so2,µg/m³,3501,PARSCAU DU PLESSIS,DONGES,47.319157000232174,-2.0669530004165564,,
7778,no2 µg/m³,5,no2,µg/m³,3502,SMVO Rieux,,49.29789536067849,2.5174477353693883,,
7779,pm10 µg/m³,1,pm10,µg/m³,3502,SMVO Rieux,,49.29789536067849,2.5174477353693883,,
7780,so2 µg/m³,6,so2,µg/m³,3502,SMVO Rieux,,49.29789536067849,2.5174477353693883,,
7781,no2 µg/m³,5,no2,µg/m³,3503,FR23153,,47.3315476635576,-2.1516268022174,,
7782,so2 µg/m³,6,so2,µg/m³,3503,FR23153,,47.3315476635576,-2.1516268022174,,
4274473,no µg/m³,19843,no,µg/m³,3505,JULES VERNE,TRIGNAC,47.31572700030015,-2.190763999746359,,
7784,no2 µg/m³,5,no2,µg/m³,3505,JULES VERNE,TRIGNAC,47.31572700030015,-2.190763999746359,,
